web-scraper-order,web-scraper-start-url,recipe,recipe-href,ingredients,instructions,next,next-href
1538530594-369,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,tri colour sandwich recipe | easy & quick layered sandwich recipes for kids,https://hebbarskitchen.com/easy-tri-colour-sandwich-recipes-kids/,,Instructionsfirstly cut the sides of 3 white or wholemeal bread. use sides to prepare bread crumbs by just grinding into fine powder.now on one bread slice apply generous amount of green chutney.layer it with lettuce leaves for green layer. alternatively use sliced cucumber for green layers.followed by a cheese slice and crushed black pepper.further place another slice of bread to get white layer.now spread mayonnaise sauce generously. alternatively use butter if required.and spread grated carrot forming the orange layer.also season with some salt and crushed black pepper.place the third bread slice and press gently.cut the sandwich into half forming triangle.finally serve tiranga sandwich or three layered sandwich to kids in their snack box.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530626-409,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,kulcha recipe | amritsari kulcha recipe | aloo kulcha recipe,https://hebbarskitchen.com/amritsari-kulcha-recipe-aloo-kulcha/,Ingredients (1 cup = 255 ML)to prepare dough: 2 cups maida / all-purpose flour / refined flour / plain flour 1 tsp sugar 1 tsp baking powder ¼ tsp baking soda salt to taste ¼ cup curd / yogurt fresh thick 2 tsp oil luke water as required to kneadfor potato stuffing: 2 large potato boiled and peeled 1 green chili finely chopped ½ tsp kashmiri red chili powder / lal mirch powder ¼ tsp garam masala powder 1 inch ginger grated ¼ tsp aamchur powder / dry mango powder ¼ tsp ajwain / carrom seeds 2 tbsp coriander leaves finely chopped salt to tasteother ingredients: 2 tsp black sesame seeds / til 3 tbsp coriander leaves finely chopped 2 tbsp butter,,,
1538530606-383,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,gobi paratha recipe | gobi ka paratha | gobhi paratha recipe,https://hebbarskitchen.com/gobi-paratha-recipe-gobhi-paratha-recipe/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530624-408,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,poha recipe | aloo poha recipe | aloo kandha poha | batata poha recipe,https://hebbarskitchen.com/poha-recipe-aloo-poha-batata-poha-recipe/,,Instructionsfirstly in a large bowl soak poha till they turn soft and easy to break.drain off the water from poha.also add in salt and sugar.mix gently and keep aside.now in a large kadai heat oil for tempering.further add mustard seeds cumin seeds hing and curry leaves.allow to splutter.further saute onions till they change colour.also saute chilli and ginger till the raw smell disappears.additionally add potato salt and turmeric. saute for a minute.cover for 5 minutes and allow to cook potatoes on low flame.furthermore add in soaked poha and roasted peanuts.mix gently. cover and simmer for 2 minutes.switch off the stove. add coriander leaves and lemon juice.finally serve aloo kandha poha hot along with masala chai.,,
1538530602-377,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,baked vada pav recipe | masala bun recipe | masala bun recipe,https://hebbarskitchen.com/baked-vada-pav-recipe-ladi-pav-recipe/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530604-380,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,spring dosa recipe | schezwan dosa recipe | chinese dosa recipe,https://hebbarskitchen.com/spring-dosa-recipe-chinese-schezwan-dosa/,Ingredients (1 cup = 255 ML),,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530637-423,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,cheese dosa recipe | cheese masala dosa recipe with red chutney,https://hebbarskitchen.com/cheese-dosa-recipe-cheese-masala-dosa/,,Instructionsfirstly heat the griddle and pour a ladleful of the dosa batter on it and spread it in a circular motion thin circle.once the dosa dries out from top add a dollop of butter.also add prepared red chutney adjust the chutney according to the spice level you are looking for.and mix red chutney and butter together.furthermore mix and spread all over the dosa.also spread 1 tbsp of prepared aloo bhaji over dosa.additionally grate cheese generously.cook till the bottom of dosa turns golden brown.then roll the dosa along with cheese - bhaji and cut half.finally cut half cheese dosa and serve immediately with chutney.,,
1538530592-366,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,methi thepla recipe | methi ka thepla recipe | methi na thepla recipe,https://hebbarskitchen.com/methi-thepla-recipe-methi-ka-thepla/,,Instructionsfirstly in a large mixing bowl take wheat flour and besan.also add chili powder turmeric sesame seeds carom seeds and salt.additionally add green chili and ginger.now add finely chopped methi leaves.give a rough mix making sure the spices are combined well.furthermore add half cup of curd and combine the dough well.additionally add some water and knead the dough.knead the dough to smooth and soft texture like of chapathi dough.add 2 tsp of oil and knead the dough for 5 more minutes.now pinch a medium sized ball dough roll and flatten it.also dust with some wheat flour.further roll it in a thin circle like chapathi or paratha.now on a hot tawa place the rolled thepla and cook for a minute.furthermore when the base is partly cooked flip the methi theplaalso brush oil / ghee and press slightly.finally serve methi thepla with raita and pickle.,12,https://hebbarskitchen.com/recipes/breakfast-recipes/page/12/
1538530615-396,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,rava dhokla recipe | instant sooji dhokla recipe | suji ka dhokla,https://hebbarskitchen.com/instant-rava-dhokla-recipe-sooji-dhokla/,,Instructionsfirstly in a large mixing bowl take rava and curd.additionally add sugar ginger chili paste and salt.mix well to form a thick batter.rest for 30 minutes or till rava absorbs moisture.further add water as required and mix well.get the dhokla to idli batter consistency.additionally add eno fruit salt.mix gently till the batter turns frothy.transfer to the greased plate.steam the dhokla batter for 12 minutes.prepare the tempering by heating oil.further add mustard seeds jeera sesame seeds and hing.once the mustard seeds splutter add in curry leaves and green chili.saute for a while and once the tempering splutters spread the tempering over dhokla.also sprinkle coriander leaves.and cut the dhokla to desired shape.finally serve soft and spongy rava dhokla with green chutney.,,
1538530621-405,https://hebbarskitchen.com/recipes/breakfast-recipes/page/11/,mysore bonda recipe | mysore bajji recipe | ulundu bonda recipe,https://hebbarskitchen.com/mysore-bonda-recipe-mysore-bajji-recipe/,,Instructionsfirstly in a large bowl soak urad dal for 2 hours.further drain off the water completely and transfer to the blender.blend the urad dal to thick and fluffy paste adding water as required.transfer the batter to a large mixing bowl.further add rice flour ginger chili curry leaves coriander leaves pepper and salt.mix well making sure everything is combined well.dip your finger in water and scoop out the batter. wet hands prevents batter from sticking to hands. alternatively use spoon.slowly push the batter from thumb to drop the batter into hot oil.immediately as the batter falls into oil the batter turns to get round shape. if not the oil is not hot.stir occasionally fry the mysore bondas on medium flame.fry till they mysore bonda turns golden brown.immediately drain off the bondas onto kitchen towel to remove excess oil.finally serve hot mysore bonda with chutney and tea as a evening snacks.,,
